Salon Name,Phone,Address,Rating,Reviews,Website,Latitude,Longitude
Angels professional beauty parlour and training institute and make artists Dharma Reddy Colony,082974 92976,"MIG-87-88, Kukatpally Housing Board Colony, Dharma Reddy Colony Phase I, Kukatpally, Hyderabad, Telangana 500085, India",4.8,68,,17.494215,78.395809
RJ Makeup academy and studio,070324 89622,"GEM Square Building, Vittal Rao Nagar, Madhapur, Hyderabad, Gafoornagar, Telangana 500081, India",5,24,,17.4414211,78.38784989999999
Pretty Looks Makeup Artist,076759 37278,"38-159/1, Panch Sheela Colony, Asbestos Colony, Kukatpally, Hyderabad, Telangana 500037, India",,,https://www.instagram.com/pretty_looks_makeup_artist?igsh=MWV6bWZkemFkcTAzcA==,17.490992,78.4301809
Nakshatra Beauty Zone (Bridal makeup artist),079939 10389,"1-90/3/b, Vinayaka Nagar, Arunodaya Colony, Vittal Rao Nagar, Madhapur, Hyderabad, Telangana 500081, India",4.7,70,,17.4432233,78.386701
Makeup artist Eshika,084838 62884,"F8WX+H24 Miyapur Police Station, 123, Krishi Nagar St, near Bajaj Electronics - Madeenaguda, Tiwari Nagar, Hyderabad, Miyapur, Telangana 500049, India",5,4,,17.496353,78.3475757
Velvet glam vijji Chowdary makeup artist,,"tower-1, janakirama towers, Brundavan Colony Rd, Saisrinagar Colony, Hyder Nagar, Brindavan Colony, Kukatpally, Hyderabad, Telangana 500085, India",,,,17.5015359,78.3866568
haritha_makeover_14,,"F9JH+M8M Gokul plots, 1309, Venkata Ramana Colony, Hafeezpet, Hyderabad, Telangana 500085, India",4.9,18,,17.481743,78.378315
Mahima Makeup Studio,,"3-4-58/A, Gandhi Nagar, Rajendra Nagar, Ramanthapur, Hyderabad, Telangana 500013, India",5,121,,17.3916231,78.54154199999999
SAI JYOTHI MAKEUP ARTIST,,"Tulasi Vanam, near hp petrol pump, Mahankali Nagar, kphb, Kukatpally, Hyderabad, Telangana 500085, India",5,1,https://www.instagram.com/saijyothi_makeup_artistry56?igsh=Y2swMHY2NWFrMXN5,17.5031854,78.4077066
Jk Golden touch beauty parlour,075695 51430,"Rd Number 2, Kukatpally Housing Board Colony, K P H B Phase 1, Kukatpally, Hyderabad, Telangana 500072, India",4.9,770,https://www.instagram.com/jk_golden_touch_?igsh=MXF3cHdhbDdqd3NrYw==,17.4925929,78.4009088
Makeup artist,072868 81452,"2, Gajularamaram Rd, Vivekananda Nagar, Srinivas Colony, Rodamestry, Rodamestri Nagar, Hyderabad, Telangana 500055, India",5,1,,17.5136131,78.43677009999999
Poonam jaiswal Professional makeup artist,,"Devender Nagar, Gajularamaram, Hyderabad, Telangana 500055, India",5,1,,17.5285425,78.41082879999999
Priyas Bloom Makeup Studio & Academy,099519 95661,"Bhagawan plaza, first floor, Huda park lane, Allwyn Colony Rd, opp. montessori school, Vijaya Nagar Colony, Kukatpally, Hyderabad, Telangana 500072, India",5,6,https://www.instagram.com/priyanka_makeupartist_hair?igsh=dHJ6YzdkM3dzeDl4,17.4984511,78.4105053
Aruu's Makeovers - Makeup Studio & Academy,070939 65375,"1st floor Mallareddy nagar phase 2 entrance Rodamestri nagar, beside Rock cycle mart, above Yuva Trendz Menswear, Prakasham Panthulu Nagar, Gajularamaram, Hyderabad, Telangana 500117, India",5,18,,17.5215903,78.41899169999999
Princy Makeup Artist,089787 86755,"1st Floor, Princy Beauty n Spa,Surabhi Shradha Apts, Ahuja Estate, beside Jashan Express, Sultan Bazar, Abids, Hyderabad, Hyderguda, Telangana 500001, India",4.7,68,https://m.facebook.com/Princymakeupartist/,17.3909815,78.4776304
Siro Make-up Studio & Academy,078935 40227,"Plot no 270/G, 3rd floor, Road Number 10, above Axis bank, Gayatri Hills, Jubilee Hills, Hyderabad, Telangana 500045, India",4.1,77,,17.4349014,78.414215
Jyothi bridal makeovers,,"Balaji Nagar, Kukatpally, Hyderabad, Telangana 500072, India",5,19,https://www.instagram.com/jyothi_bridalmakeovers?igsh=emswc2dyMTg1aWg1,17.486046,78.40598489999999
Blush Crush Makeup Studio,099493 06610,"Plot num 970, SRI SAI NILAYAM, Salivahana Colony, Hafeezpet, Hyderabad, Telangana 500085, India",4.8,6,,17.4857503,78.3774082
Monika Makeup Artist,090301 23548,"884, Shivaji Nagar, Tulasi Nagar, Sanath Nagar, Hyderabad, Telangana 500018, India",4.8,17,https://sites.google.com/view/monikamakeovers/,17.4550427,78.44244909999999
Shireesha Make-Up Artist,096428 49125,"Sree, Venkatraya Nagar, Nizampet, Hyderabad, Telangana 500090, India",4.7,15,http://www.sirimakeup.com/,17.5163716,78.3763788
NS Beauty salon (only for ladies),063014 80104,"opp. sri chaitanya school, beside Airtel Showroom, Saptagiri Colony, Vivekananda Nagar, Kukatpally, Hyderabad, Telangana 500072, India",4.9,380,,17.4982539,78.4149034
Autumn Salon,080197 51959,"Plot No.83, 9th Phase, behind Nexus Mall, Kukatpally Housing Board Colony, K P H B Phase 9, Kukatpally, Hyderabad, Telangana 500085, India",4.9,723,https://autumnsalon.in/,17.4851579,78.3882239
Akshai womens beauty salon KPHB,095506 54584,"Room no B1 2 nd floor, Kapil Complex, Kukatpally Housing Board Colony, K P H B Phase 6, Kukatpally, Hyderabad, Telangana 500085, India",4.8,17,https://www.akshaiunisexsalon.in/,17.4863344,78.38842029999999
